Local Case Number,Crash Date/Time,Road Name,Related Non-Motorist,Weather,Surface Condition,Light,Driver Substance Abuse,Pedestrian Type,Pedestrian Movement,Pedestrian Actions,Pedestrian Location,At Fault,Injury Severity,Safety Equipment,Latitude,Longitude,Year,Month,Hour
240047797,10/07/2024 07:50:00 AM,ETERNITY RD,Pedestrian,Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Cross/Enter at Intersection,None (No Improper Action),Intersection Unmarked Crosswalk,No,No Apparent Injury,None,39.16879435,-77.29062071,2024,10,7
240047797,10/07/2024 07:50:00 AM,ETERNITY RD,Pedestrian,Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Cross/Enter at Intersection,None (No Improper Action),Intersection Unmarked Crosswalk,No,No Apparent Injury,None,39.16879435,-77.29062071,2024,10,7
24002116,10/06/2024 09:55:00 AM,NA,Pedestrian,Clear,NA,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Other,None (No Improper Action),Other,No,Possible Minor Injury,None,39.15197405,-77.14510201,2024,10,9
240047597,10/05/2024 07:25:00 PM,ROCKVILLE PIKE (SB/L),Pedestrian,Clear,Dry,Medium,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Cross/Enter Not at Intersection,None (No Improper Action),Midblock Marked Crosswalk,No,Possible Minor Injury,None,39.05972847,-77.12235105,2024,10,19
240047614,10/05/2024 07:20:00 PM,PENDLETON DR,Pedestrian,Clear,Dry,Dark,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Cross/Enter at Intersection,None (No Improper Action),Intersection Marked Crosswalk,No,Possible Minor Injury,None,39.04695767,-77.06717667,2024,10,19
240047585,10/05/2024 05:17:00 PM,FOREST GLEN RD,Cyclist (non-electric),Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Cyclist (non-electric),Cross/Enter at Intersection,None (No Improper Action),Intersection Marked Crosswalk,No,Possible Minor Injury,Helmet,39.01612643,-77.03329447,2024,10,17
240047313,10/05/2024 07:22:00 AM,CONNECTICUT AVE (SB/L),Pedestrian,Clear,Dry,Medium,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Walking/Cycling on Sidewalk,None (No Improper Action),Sidewalk,No,Possible Minor Injury,None,39.08071909,-77.08049839,2024,10,7
240047198,10/03/2024 01:03:00 PM,NA,Cyclist (non-electric),Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Cyclist (non-electric),Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),None (No Improper Action),OnStreet Bike Lanes,No,Possible Minor Injury,"Helmet, Reflective Wear (backpack, triangles, etc.), Reflectors",39.10096383,-77.21589666,2024,10,13
240047112,10/02/2024 08:45:00 PM,WATERS LANDING DR,Cyclist (non-electric),Clear,Dry,Medium,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Cyclist (non-electric),Cross/Enter at Intersection,Unknown,Intersection Marked Crosswalk,No,Possible Minor Injury,None,39.1918455,-77.27219383,2024,10,20
240047101,10/02/2024 07:15:00 PM,CONNECTICUT AVE,Pedestrian,Clear,Wet,Medium,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Standing,None (No Improper Action),Travel Lane Other Location,No,Possible Minor Injury,"Reflective Wear (backpack, triangles, etc.)",39.02002633,-77.0770985,2024,10,19
